title,price,store,sale
"""【低至2099元】华为旗下HONOR/荣耀20全面屏超广角AI四摄麒麟980芯片智能拍照手机正品PRO手机v30""",2099.00,"""荣耀官方旗舰店""",9500+人收货
"""【年货节 100优惠券】Huawei/华为 P30全面屏超感光徕卡三摄变焦双景录像980芯片智能手机p30华为官方旗舰店""",3388.00,"""华为官方旗舰店""",9500+人收货
"""【限时低至1699元】华为旗下HONOR/荣耀V20新品全视屏麒麟980处理器4800万AI摄影手机官方旗舰店v30""",2399.00,"""荣耀官方旗舰店""",9500+人收货
"""【年货节 最高直降200】Huawei/华为畅享9e全面屏珍珠屏千元智能手机华为正品官方智能手机华为官方旗舰店""",699.00,"""华为官方旗舰店""",9000+人收货
"""【4G全网通】纽曼 l6+老人机超长待机大屏大字大声音按键直板移动电信版中老年手机学生女正品联通儿童小手机""",59.00,"""纽曼深圳专卖店""",9000+人收货
"""【低至999元】华为旗下HONOR/荣耀8X全面屏手机屏占比高达91%智能学生青春正品官方旗舰店10青春版""",999.00,"""荣耀官方旗舰店""",9000+人收货
"""【低至1699元】华为旗下HONOR/荣耀Magic2滑盖全面屏官网正品超级快充麒麟980官方旗舰店新手机v20""",1699.00,"""荣耀官方旗舰店""",9000+人收货
"""【年货节 直降200】Huawei/华为nova 5z 快充AI4800万四摄人像超级夜景128G大内存智能手机华为官方旗舰店""",1799.00,"""华为官方旗舰店""",8500+人收货
"""Apple/苹果 iPhone 7 Plus iPhone7国行三网通全新正品苹果7P手机""",2160.00,"""喜洋洋工作屋""",8500+人收货
"""vjvj X21S正品学生价水滴全面屏安卓指纹游戏电信全网通智能手机""",368.00,"""华信通商城""",8500+人收货
"""Apple/苹果 iPhone 7 Plus国行美版苹果7代苹果7P5.5寸全网通手机""",1800.00,"""唯美气质淑女日韩馆""",8000+人收货
"""【年货节 24期免息】Huawei/华为Mate 30麒麟990超级快充4000万徕卡4G智能手机mate30华为官方旗舰店""",3999.00,"""华为官方旗舰店""",7500+人收货
"""【1月6日 24期免息 抢礼盒】华为旗下HONOR/荣耀V30双模5G麒麟990旗舰芯片突破性相机矩阵PRO拍照手机官方店""",3299.00,"""荣耀官方旗舰店""",7000+人收货
"""4G全网通皓轩H5军工三防老人机超长待机女款大屏大字大声直板按键移动电信版老年手机正品学生功能天翼小手机""",39.00,"""皓轩手机旗舰店""",6500+人收货
"""【6+128G省300元 赠充电宝】小米CC9e 4800万全面屏手机拍照游戏学生小米官方旗舰店正品CC Xiaomi""",1199.00,"""小米官方旗舰店""",6500+人收货
"""【4G全网通】YEPEN/誉品 Y550正品老年手机老人机超长待机大字大声大屏移动联通电信男女按键小学生功能手机""",49.00,"""誉品旗舰店""",6500+人收货
"""Apple/苹果 iPhone 8 Plus 全新正品国行美版三网通手机iPhone 8""",2600.00,"""喜洋洋工作屋""",6000+人收货
"""【享12期免息】华为旗下/荣耀V30 PRO新品双模麒麟990 5GSOC芯片突破性相机矩阵手机新正品官方""",4199.00,"""荣耀官方旗舰店""",6000+人收货
"""[4G全网通]纽曼 L8S军工三防老人机超长待机正品老年手机大屏大字大声音移动电信版学生女按键直板诺基亚手机""",58.00,"""深圳易乐购数码专营店""",6000+人收货
"""Apple/lPhone 6splus 苹.果6sp 苹.果6s手机7代7plus全网通正品7p""",950.00,"""旅游数码欢乐坊""",5500+人收货
"""【4G全网通】创星S1老人机超长待机正品直板军工三防诺基亚学生女款按键移动电信版大屏大字大声音老年手机""",58.00,"""炜广天成数码专营店""",5500+人收货
"""Apple/苹果 iPhone 7 Plus全新7代5.5英寸全网通7P苹果8plus手机X""",1650.00,"""晨曦爱森林浴""",5500+人收货
"""【至高省300】vivo iQOO Neo 855高通骁龙855处理器游戏指纹智能手机vivoiqooneo iqooneo vivo新iqoo 限量版""",1998.00,"""vivo官方旗舰店""",5500+人收货
"""【4G全网通】纽曼 M560正品老人机超长待机直板老年手机大屏大字大声音移动联通电信版女学生功能按键小手机""",69.00,"""创于佳讯数码专营店""",3.5万+人收货
"""【限时低至1099元】华为旗下HONOR/荣耀9X麒麟810芯片4800万超清双摄手机官方旗舰店官方旗舰店正品""",1099.00,"""荣耀官方旗舰店""",3.0万+人收货
"""【4G全网通】尼凯恩 EN3正品老人机超长待机三防军工直板老年手机大屏大字大声音移动联通电信版学生按键手机""",69.00,"""尼凯恩旗舰店""",2.5万+人收货
"""【新品享6期免息】红米k30 索尼6400万大电量120Hz智能游戏学生手机K20升级redmi小米官方旗舰店网正品xiaomi""",1699.00,"""小米官方旗舰店""",2.0万+人收货
"""【年货节 24期免息】Huawei/华为Mate 30 Pro 5G麒麟990徕卡四摄5G芯片智能手机mate30pro5g官方旗舰店""",6399.00,"""华为官方旗舰店""",1.5万+人收货
"""vivo Z5x极点全面屏高通骁龙710大电池智能手机官方正品手机新品vivoz5x限量版 z3x""",1298.00,"""vivo官方旗舰店""",1.5万+人收货
"""Apple/苹果 Apple iPhone 11 移动联通电信全网通4G智能手机""",4549.00,"""洋桃旗舰店""",1.5万+人收货
"""【6+64G立省100】红米note8 4800万四摄拍照游戏学生智能手机redmi全面屏pro小米官方旗舰店正品7xiaomi""",999.00,"""小米官方旗舰店""",1.5万+人收货
"""【3+32G立省100】红米8A 大电量大屏幕智能游戏学生老年人手机小米官方旗舰店官网redmi红米8a正品""",599.00,"""小米官方旗舰店""",1.0万+人收货
"""【年货节 24期免息】Huawei/华为Mate 30 5G麒麟990超感光徕卡三摄5G智能手机mate305g官方旗舰店""",4999.00,"""华为官方旗舰店""",1.0万+人收货
"""【年货节 4+128G直降100】Huawei/华为畅享10 Plus超清全视屏4800万三摄智能手机华为官方旗舰店畅享10plus""",1399.00,"""华为官方旗舰店""",1.0万+人收货
"""【6+128GB到手价1399】红米note8pro6400万4500mAh大电量小米手机redmi拍照智能学生小米官方旗舰店xiaomi""",1299.00,"""小米官方旗舰店""",1.0万+人收货
"""【限时24期免息】Apple/苹果 iPhone 11 移动联通电信全网通4G 超广角拍照手机苏宁易购官方旗舰店""",5499.00,"""苏宁易购官方旗舰店""",1.0万+人收货
"""【12+512G低至2799】红米k20 pro尊享版骁龙855Plus大存储学生智能游戏手机30小米官方旗舰店redmi正品""",2799.00,"""小米官方旗舰店""",1.0万+人收货
"""【年货节 12期免息】Huawei/华为nova 5 Pro超级夜景4800万AI四摄超广角智能手机nova5pro华为官方旗舰店""",2899.00,"""华为官方旗舰店""",1.0万+人收货
"""【下单立减100赠耳机】OPPO K5全面屏6400万四摄4G拍照游戏智能手机官方旗舰店正品oppok5 k3 k1""",1799.00,"""oppo官方旗舰店""",1.0万+人收货
"""VOVG X27超薄水滴全面屏安卓大屏游戏4G全网通智能手机电信学生价""",358.00,"""齐胜通讯""",1.0万+人收货
"""vivo Z5新品vivoz5限量版智能手机官方正品旗舰店官网屏幕指纹学生新款vivoz5x z3x""",1398.00,"""vivo官方旗舰店""",9500+人收货
"""【下单至高省100】vivo U3x新品vivou3x千元拍照智能手机大电池官方旗舰店官网正品学生老人u1 y93""",799.00,"""vivo官方旗舰店""",9500+人收货
"""全网通4G天语R7移动联通电信版女超薄老人机超长待机正品按键直板老年手机大屏大字大声音天翼功能小学生备用""",69.00,"""天语强宇专卖店""",9500+人收货
"""关爱心G1军工三防老人机超长待机正品移动电信版联通4G全网通老年手机大屏大字大声音女学生女备用功能小手机""",58.00,"""关爱心旗舰店""",9500+人收货
"""【低至2099元】华为旗下HONOR/荣耀20全面屏超广角AI四摄麒麟980芯片智能拍照手机正品PRO手机v30""",2099.00,"""荣耀官方旗舰店""",9500+人收货
"""【年货节 100优惠券】Huawei/华为 P30全面屏超感光徕卡三摄变焦双景录像980芯片智能手机p30华为官方旗舰店""",3388.00,"""华为官方旗舰店""",9500+人收货
"""【限时低至1699元】华为旗下HONOR/荣耀V20新品全视屏麒麟980处理器4800万AI摄影手机官方旗舰店v30""",2399.00,"""荣耀官方旗舰店""",9500+人收货
"""【年货节 最高直降200】Huawei/华为畅享9e全面屏珍珠屏千元智能手机华为正品官方智能手机华为官方旗舰店""",699.00,"""华为官方旗舰店""",9000+人收货
"""【4G全网通】纽曼 l6+老人机超长待机大屏大字大声音按键直板移动电信版中老年手机学生女正品联通儿童小手机""",59.00,"""纽曼深圳专卖店""",9000+人收货
"""【低至999元】华为旗下HONOR/荣耀8X全面屏手机屏占比高达91%智能学生青春正品官方旗舰店10青春版""",999.00,"""荣耀官方旗舰店""",9000+人收货
"""【低至1699元】华为旗下HONOR/荣耀Magic2滑盖全面屏官网正品超级快充麒麟980官方旗舰店新手机v20""",1699.00,"""荣耀官方旗舰店""",9000+人收货
"""【年货节 直降200】Huawei/华为nova 5z 快充AI4800万四摄人像超级夜景128G大内存智能手机华为官方旗舰店""",1799.00,"""华为官方旗舰店""",8500+人收货
"""Apple/苹果 iPhone 7 Plus iPhone7国行三网通全新正品苹果7P手机""",2160.00,"""喜洋洋工作屋""",8500+人收货
"""vjvj X21S正品学生价水滴全面屏安卓指纹游戏电信全网通智能手机""",368.00,"""华信通商城""",8500+人收货
"""Apple/苹果 iPhone 7 Plus国行美版苹果7代苹果7P5.5寸全网通手机""",1800.00,"""唯美气质淑女日韩馆""",8000+人收货
"""【年货节 24期免息】Huawei/华为Mate 30麒麟990超级快充4000万徕卡4G智能手机mate30华为官方旗舰店""",3999.00,"""华为官方旗舰店""",7500+人收货
"""【1月6日 24期免息 抢礼盒】华为旗下HONOR/荣耀V30双模5G麒麟990旗舰芯片突破性相机矩阵PRO拍照手机官方店""",3299.00,"""荣耀官方旗舰店""",7000+人收货
"""4G全网通皓轩H5军工三防老人机超长待机女款大屏大字大声直板按键移动电信版老年手机正品学生功能天翼小手机""",39.00,"""皓轩手机旗舰店""",6500+人收货
"""【6+128G省300元 赠充电宝】小米CC9e 4800万全面屏手机拍照游戏学生小米官方旗舰店正品CC Xiaomi""",1199.00,"""小米官方旗舰店""",6500+人收货
"""【4G全网通】YEPEN/誉品 Y550正品老年手机老人机超长待机大字大声大屏移动联通电信男女按键小学生功能手机""",49.00,"""誉品旗舰店""",6500+人收货
"""Apple/苹果 iPhone 8 Plus 全新正品国行美版三网通手机iPhone 8""",2600.00,"""喜洋洋工作屋""",6000+人收货
"""【享12期免息】华为旗下/荣耀V30 PRO新品双模麒麟990 5GSOC芯片突破性相机矩阵手机新正品官方""",4199.00,"""荣耀官方旗舰店""",6000+人收货
"""[4G全网通]纽曼 L8S军工三防老人机超长待机正品老年手机大屏大字大声音移动电信版学生女按键直板诺基亚手机""",58.00,"""深圳易乐购数码专营店""",6000+人收货
"""Apple/lPhone 6splus 苹.果6sp 苹.果6s手机7代7plus全网通正品7p""",950.00,"""旅游数码欢乐坊""",5500+人收货
"""【4G全网通】创星S1老人机超长待机正品直板军工三防诺基亚学生女款按键移动电信版大屏大字大声音老年手机""",58.00,"""炜广天成数码专营店""",5500+人收货
"""Apple/苹果 iPhone 7 Plus全新7代5.5英寸全网通7P苹果8plus手机X""",1650.00,"""晨曦爱森林浴""",5500+人收货
"""【至高省300】vivo iQOO Neo 855高通骁龙855处理器游戏指纹智能手机vivoiqooneo iqooneo vivo新iqoo 限量版""",1998.00,"""vivo官方旗舰店""",5500+人收货
"""【4G全网通】纽曼 M560正品老人机超长待机直板老年手机大屏大字大声音移动联通电信版女学生功能按键小手机""",69.00,"""创于佳讯数码专营店""",3.5万+人收货
"""【限时低至1099元】华为旗下HONOR/荣耀9X麒麟810芯片4800万超清双摄手机官方旗舰店官方旗舰店正品""",1099.00,"""荣耀官方旗舰店""",3.0万+人收货
"""【4G全网通】尼凯恩 EN3正品老人机超长待机三防军工直板老年手机大屏大字大声音移动联通电信版学生按键手机""",69.00,"""尼凯恩旗舰店""",2.5万+人收货
"""【新品享6期免息】红米k30 索尼6400万大电量120Hz智能游戏学生手机K20升级redmi小米官方旗舰店网正品xiaomi""",1699.00,"""小米官方旗舰店""",2.0万+人收货
"""【年货节 24期免息】Huawei/华为Mate 30 Pro 5G麒麟990徕卡四摄5G芯片智能手机mate30pro5g官方旗舰店""",6399.00,"""华为官方旗舰店""",1.5万+人收货
"""vivo Z5x极点全面屏高通骁龙710大电池智能手机官方正品手机新品vivoz5x限量版 z3x""",1298.00,"""vivo官方旗舰店""",1.5万+人收货
"""Apple/苹果 Apple iPhone 11 移动联通电信全网通4G智能手机""",4549.00,"""洋桃旗舰店""",1.5万+人收货
"""【6+64G立省100】红米note8 4800万四摄拍照游戏学生智能手机redmi全面屏pro小米官方旗舰店正品7xiaomi""",999.00,"""小米官方旗舰店""",1.5万+人收货
"""【3+32G立省100】红米8A 大电量大屏幕智能游戏学生老年人手机小米官方旗舰店官网redmi红米8a正品""",599.00,"""小米官方旗舰店""",1.0万+人收货
"""【年货节 24期免息】Huawei/华为Mate 30 5G麒麟990超感光徕卡三摄5G智能手机mate305g官方旗舰店""",4999.00,"""华为官方旗舰店""",1.0万+人收货
"""【年货节 4+128G直降100】Huawei/华为畅享10 Plus超清全视屏4800万三摄智能手机华为官方旗舰店畅享10plus""",1399.00,"""华为官方旗舰店""",1.0万+人收货
"""【6+128GB到手价1399】红米note8pro6400万4500mAh大电量小米手机redmi拍照智能学生小米官方旗舰店xiaomi""",1299.00,"""小米官方旗舰店""",1.0万+人收货
"""【限时24期免息】Apple/苹果 iPhone 11 移动联通电信全网通4G 超广角拍照手机苏宁易购官方旗舰店""",5499.00,"""苏宁易购官方旗舰店""",1.0万+人收货
"""【12+512G低至2799】红米k20 pro尊享版骁龙855Plus大存储学生智能游戏手机30小米官方旗舰店redmi正品""",2799.00,"""小米官方旗舰店""",1.0万+人收货
"""【年货节 12期免息】Huawei/华为nova 5 Pro超级夜景4800万AI四摄超广角智能手机nova5pro华为官方旗舰店""",2899.00,"""华为官方旗舰店""",1.0万+人收货
"""【下单立减100赠耳机】OPPO K5全面屏6400万四摄4G拍照游戏智能手机官方旗舰店正品oppok5 k3 k1""",1799.00,"""oppo官方旗舰店""",1.0万+人收货
"""VOVG X27超薄水滴全面屏安卓大屏游戏4G全网通智能手机电信学生价""",358.00,"""齐胜通讯""",1.0万+人收货
"""vivo Z5新品vivoz5限量版智能手机官方正品旗舰店官网屏幕指纹学生新款vivoz5x z3x""",1398.00,"""vivo官方旗舰店""",9500+人收货
"""【下单至高省100】vivo U3x新品vivou3x千元拍照智能手机大电池官方旗舰店官网正品学生老人u1 y93""",799.00,"""vivo官方旗舰店""",9500+人收货
"""全网通4G天语R7移动联通电信版女超薄老人机超长待机正品按键直板老年手机大屏大字大声音天翼功能小学生备用""",69.00,"""天语强宇专卖店""",9500+人收货
"""关爱心G1军工三防老人机超长待机正品移动电信版联通4G全网通老年手机大屏大字大声音女学生女备用功能小手机""",58.00,"""关爱心旗舰店""",9500+人收货
"""【低至2099元】华为旗下HONOR/荣耀20全面屏超广角AI四摄麒麟980芯片智能拍照手机正品PRO手机v30""",2099.00,"""荣耀官方旗舰店""",9500+人收货
"""【年货节 100优惠券】Huawei/华为 P30全面屏超感光徕卡三摄变焦双景录像980芯片智能手机p30华为官方旗舰店""",3388.00,"""华为官方旗舰店""",9500+人收货
"""【限时低至1699元】华为旗下HONOR/荣耀V20新品全视屏麒麟980处理器4800万AI摄影手机官方旗舰店v30""",2399.00,"""荣耀官方旗舰店""",9500+人收货
"""【年货节 最高直降200】Huawei/华为畅享9e全面屏珍珠屏千元智能手机华为正品官方智能手机华为官方旗舰店""",699.00,"""华为官方旗舰店""",9000+人收货
"""【4G全网通】纽曼 l6+老人机超长待机大屏大字大声音按键直板移动电信版中老年手机学生女正品联通儿童小手机""",59.00,"""纽曼深圳专卖店""",9000+人收货
"""【低至999元】华为旗下HONOR/荣耀8X全面屏手机屏占比高达91%智能学生青春正品官方旗舰店10青春版""",999.00,"""荣耀官方旗舰店""",9000+人收货
"""【低至1699元】华为旗下HONOR/荣耀Magic2滑盖全面屏官网正品超级快充麒麟980官方旗舰店新手机v20""",1699.00,"""荣耀官方旗舰店""",9000+人收货
"""【年货节 直降200】Huawei/华为nova 5z 快充AI4800万四摄人像超级夜景128G大内存智能手机华为官方旗舰店""",1799.00,"""华为官方旗舰店""",8500+人收货
"""Apple/苹果 iPhone 7 Plus iPhone7国行三网通全新正品苹果7P手机""",2160.00,"""喜洋洋工作屋""",8500+人收货
"""vjvj X21S正品学生价水滴全面屏安卓指纹游戏电信全网通智能手机""",368.00,"""华信通商城""",8500+人收货
"""Apple/苹果 iPhone 7 Plus国行美版苹果7代苹果7P5.5寸全网通手机""",1800.00,"""唯美气质淑女日韩馆""",8000+人收货
"""【年货节 24期免息】Huawei/华为Mate 30麒麟990超级快充4000万徕卡4G智能手机mate30华为官方旗舰店""",3999.00,"""华为官方旗舰店""",7500+人收货
"""【1月6日 24期免息 抢礼盒】华为旗下HONOR/荣耀V30双模5G麒麟990旗舰芯片突破性相机矩阵PRO拍照手机官方店""",3299.00,"""荣耀官方旗舰店""",7000+人收货
"""4G全网通皓轩H5军工三防老人机超长待机女款大屏大字大声直板按键移动电信版老年手机正品学生功能天翼小手机""",39.00,"""皓轩手机旗舰店""",6500+人收货
"""【6+128G省300元 赠充电宝】小米CC9e 4800万全面屏手机拍照游戏学生小米官方旗舰店正品CC Xiaomi""",1199.00,"""小米官方旗舰店""",6500+人收货
"""【4G全网通】YEPEN/誉品 Y550正品老年手机老人机超长待机大字大声大屏移动联通电信男女按键小学生功能手机""",49.00,"""誉品旗舰店""",6500+人收货
"""Apple/苹果 iPhone 8 Plus 全新正品国行美版三网通手机iPhone 8""",2600.00,"""喜洋洋工作屋""",6000+人收货
"""【享12期免息】华为旗下/荣耀V30 PRO新品双模麒麟990 5GSOC芯片突破性相机矩阵手机新正品官方""",4199.00,"""荣耀官方旗舰店""",6000+人收货
"""[4G全网通]纽曼 L8S军工三防老人机超长待机正品老年手机大屏大字大声音移动电信版学生女按键直板诺基亚手机""",58.00,"""深圳易乐购数码专营店""",6000+人收货
"""Apple/lPhone 6splus 苹.果6sp 苹.果6s手机7代7plus全网通正品7p""",950.00,"""旅游数码欢乐坊""",5500+人收货
"""【4G全网通】创星S1老人机超长待机正品直板军工三防诺基亚学生女款按键移动电信版大屏大字大声音老年手机""",58.00,"""炜广天成数码专营店""",5500+人收货
"""Apple/苹果 iPhone 7 Plus全新7代5.5英寸全网通7P苹果8plus手机X""",1650.00,"""晨曦爱森林浴""",5500+人收货
"""【至高省300】vivo iQOO Neo 855高通骁龙855处理器游戏指纹智能手机vivoiqooneo iqooneo vivo新iqoo 限量版""",1998.00,"""vivo官方旗舰店""",5500+人收货
"""【4G全网通】纽曼 M560正品老人机超长待机直板老年手机大屏大字大声音移动联通电信版女学生功能按键小手机""",69.00,"""创于佳讯数码专营店""",3.5万+人收货
"""【限时低至1099元】华为旗下HONOR/荣耀9X麒麟810芯片4800万超清双摄手机官方旗舰店官方旗舰店正品""",1099.00,"""荣耀官方旗舰店""",3.0万+人收货
"""【4G全网通】尼凯恩 EN3正品老人机超长待机三防军工直板老年手机大屏大字大声音移动联通电信版学生按键手机""",69.00,"""尼凯恩旗舰店""",2.5万+人收货
"""【新品享6期免息】红米k30 索尼6400万大电量120Hz智能游戏学生手机K20升级redmi小米官方旗舰店网正品xiaomi""",1699.00,"""小米官方旗舰店""",2.0万+人收货
"""【年货节 24期免息】Huawei/华为Mate 30 Pro 5G麒麟990徕卡四摄5G芯片智能手机mate30pro5g官方旗舰店""",6399.00,"""华为官方旗舰店""",1.5万+人收货
"""vivo Z5x极点全面屏高通骁龙710大电池智能手机官方正品手机新品vivoz5x限量版 z3x""",1298.00,"""vivo官方旗舰店""",1.5万+人收货
"""Apple/苹果 Apple iPhone 11 移动联通电信全网通4G智能手机""",4549.00,"""洋桃旗舰店""",1.5万+人收货
"""【6+64G立省100】红米note8 4800万四摄拍照游戏学生智能手机redmi全面屏pro小米官方旗舰店正品7xiaomi""",999.00,"""小米官方旗舰店""",1.5万+人收货
"""【3+32G立省100】红米8A 大电量大屏幕智能游戏学生老年人手机小米官方旗舰店官网redmi红米8a正品""",599.00,"""小米官方旗舰店""",1.0万+人收货
"""【年货节 24期免息】Huawei/华为Mate 30 5G麒麟990超感光徕卡三摄5G智能手机mate305g官方旗舰店""",4999.00,"""华为官方旗舰店""",1.0万+人收货
"""【年货节 4+128G直降100】Huawei/华为畅享10 Plus超清全视屏4800万三摄智能手机华为官方旗舰店畅享10plus""",1399.00,"""华为官方旗舰店""",1.0万+人收货
"""【6+128GB到手价1399】红米note8pro6400万4500mAh大电量小米手机redmi拍照智能学生小米官方旗舰店xiaomi""",1299.00,"""小米官方旗舰店""",1.0万+人收货
"""【限时24期免息】Apple/苹果 iPhone 11 移动联通电信全网通4G 超广角拍照手机苏宁易购官方旗舰店""",5499.00,"""苏宁易购官方旗舰店""",1.0万+人收货
"""【12+512G低至2799】红米k20 pro尊享版骁龙855Plus大存储学生智能游戏手机30小米官方旗舰店redmi正品""",2799.00,"""小米官方旗舰店""",1.0万+人收货
"""【年货节 12期免息】Huawei/华为nova 5 Pro超级夜景4800万AI四摄超广角智能手机nova5pro华为官方旗舰店""",2899.00,"""华为官方旗舰店""",1.0万+人收货
"""【下单立减100赠耳机】OPPO K5全面屏6400万四摄4G拍照游戏智能手机官方旗舰店正品oppok5 k3 k1""",1799.00,"""oppo官方旗舰店""",1.0万+人收货
"""VOVG X27超薄水滴全面屏安卓大屏游戏4G全网通智能手机电信学生价""",358.00,"""齐胜通讯""",1.0万+人收货
"""vivo Z5新品vivoz5限量版智能手机官方正品旗舰店官网屏幕指纹学生新款vivoz5x z3x""",1398.00,"""vivo官方旗舰店""",9500+人收货
"""【下单至高省100】vivo U3x新品vivou3x千元拍照智能手机大电池官方旗舰店官网正品学生老人u1 y93""",799.00,"""vivo官方旗舰店""",9500+人收货
"""全网通4G天语R7移动联通电信版女超薄老人机超长待机正品按键直板老年手机大屏大字大声音天翼功能小学生备用""",69.00,"""天语强宇专卖店""",9500+人收货
"""关爱心G1军工三防老人机超长待机正品移动电信版联通4G全网通老年手机大屏大字大声音女学生女备用功能小手机""",58.00,"""关爱心旗舰店""",9500+人收货
"""【低至2099元】华为旗下HONOR/荣耀20全面屏超广角AI四摄麒麟980芯片智能拍照手机正品PRO手机v30""",2099.00,"""荣耀官方旗舰店""",9500+人收货
"""【年货节 100优惠券】Huawei/华为 P30全面屏超感光徕卡三摄变焦双景录像980芯片智能手机p30华为官方旗舰店""",3388.00,"""华为官方旗舰店""",9500+人收货
"""【限时低至1699元】华为旗下HONOR/荣耀V20新品全视屏麒麟980处理器4800万AI摄影手机官方旗舰店v30""",2399.00,"""荣耀官方旗舰店""",9500+人收货
"""【年货节 最高直降200】Huawei/华为畅享9e全面屏珍珠屏千元智能手机华为正品官方智能手机华为官方旗舰店""",699.00,"""华为官方旗舰店""",9000+人收货
"""【4G全网通】纽曼 l6+老人机超长待机大屏大字大声音按键直板移动电信版中老年手机学生女正品联通儿童小手机""",59.00,"""纽曼深圳专卖店""",9000+人收货
"""【低至999元】华为旗下HONOR/荣耀8X全面屏手机屏占比高达91%智能学生青春正品官方旗舰店10青春版""",999.00,"""荣耀官方旗舰店""",9000+人收货
"""【低至1699元】华为旗下HONOR/荣耀Magic2滑盖全面屏官网正品超级快充麒麟980官方旗舰店新手机v20""",1699.00,"""荣耀官方旗舰店""",9000+人收货
"""【年货节 直降200】Huawei/华为nova 5z 快充AI4800万四摄人像超级夜景128G大内存智能手机华为官方旗舰店""",1799.00,"""华为官方旗舰店""",8500+人收货
"""Apple/苹果 iPhone 7 Plus iPhone7国行三网通全新正品苹果7P手机""",2160.00,"""喜洋洋工作屋""",8500+人收货
"""vjvj X21S正品学生价水滴全面屏安卓指纹游戏电信全网通智能手机""",368.00,"""华信通商城""",8500+人收货
"""Apple/苹果 iPhone 7 Plus国行美版苹果7代苹果7P5.5寸全网通手机""",1800.00,"""唯美气质淑女日韩馆""",8000+人收货
"""【年货节 24期免息】Huawei/华为Mate 30麒麟990超级快充4000万徕卡4G智能手机mate30华为官方旗舰店""",3999.00,"""华为官方旗舰店""",7500+人收货
