,title,price,store,commentcount,location
630,"""新Nokia/诺基亚105 手机官方正品移动直板按键学生老人备用机 老人手机 诺基亚105 老年机 老人机官方旗舰""",129.0,苏宁易购官方旗舰店,59315.0,江苏 南京
46,"""【下单至高减200】OPPO K3全面屏骁龙710屏幕指纹手机智能新品官方游戏手机oppok3 k1 oppor17 r15""",1799.0,oppo官方旗舰店,58186.0,广东 东莞
71,"""Philips/飞利浦 E212A翻盖老人手机超长待机大字大声大屏老年手机正品双屏商务手机男女备用学生按键老人机""",258.0,伟业恒通数码专营店,54912.0,广东 深圳
560,"""正品Nokia/诺基亚 105新老人机超长待机直板按键大字大声经典老年机学生儿童备用迷你怀旧小手机官方旗舰店""",139.0,天讯蓝图数码专营店,53064.0,广东 深圳
45,"""Changhong/长虹 L9老人机超长待机移动老年手机学生女超薄直板老年机小手机大屏大字大声音诺基亚电信版手机""",99.0,慕尚年华数码专营店,51479.0,广东 深圳
25,"""vivo Z5新品vivoz5限量版智能手机官方正品旗舰店官网屏幕指纹学生新款vivoz5x z3x""",1398.0,vivo官方旗舰店,49183.0,广东 东莞
12,"""【1月6日低至1199起】红米note8pro6400万4500mAh大电量小米手机redmi拍照智能学生小米官方旗舰店xiaomi""",1199.0,小米官方旗舰店,42738.0,北京
82,"""【限时低至999元】华为旗下HONOR/荣耀8X Max官网全新正品智能商务学生游戏全面屏双摄手机官方旗舰店正品""",999.0,荣耀官方旗舰店,41266.0,广东 深圳
22,"""【年货节 最高直降200】Huawei/华为畅享9e全面屏珍珠屏千元智能手机华为正品官方智能手机华为官方旗舰店""",599.0,华为官方旗舰店,39466.0,广东 深圳
7,"""【全版本立省100】红米note8 4800万四摄拍照游戏学生智能手机redmi全面屏pro小米官方旗舰店正品7xiaomi""",899.0,小米官方旗舰店,39465.0,北京
1979,"""4G全网通BIRD/波导 A520老人机超长待机直板电信版大屏老年手机正品大字大声功能男女款按键诺基亚联通移动""",158.0,爱要美数码专营店,38397.0,湖南 长沙
342,"""【6+64GB低至999】华为honor/荣耀8X全面大屏幕指纹解锁智能游戏青春学生老人手机官方旗舰店9X""",999.0,苏宁易购官方旗舰店,35417.0,江苏 南京
4,"""【年货节 24期免息】Huawei/华为Mate 30 Pro 5G麒麟990徕卡四摄5G芯片智能手机mate30pro5g官方旗舰店""",6399.0,华为官方旗舰店,35357.0,广东 深圳
212,"""纽曼V7 儿童手机 小学生初中生可爱卡通男女款迷你汽车非智能4G移动电信版卡片超薄只可以打电话老人老年手机""",78.0,纯林伟业数码专营店,34478.0,广东 深圳
16,"""VOVG X27超薄水滴全面屏安卓大屏游戏4G全网通智能手机电信学生价""",358.0,齐胜通讯,33242.0,广东 深圳
34,"""4G全网通皓轩H5军工三防老人机超长待机女款大屏大字大声直板按键移动电信版老年手机正品学生功能天翼小手机""",39.0,皓轩手机旗舰店,32477.0,广东 深圳
1417,"""BIRD/波导 A520老人机超长待机移动老人手机大字大声电信版大屏正品4g全网通大按键直板女老年手机双卡学生""",158.0,波导七星级专卖店,32409.0,广东 深圳
169,"""【限时低至1399元】华为旗下HONOR/荣耀 Note10 大屏幕液冷双Turbo官方旗舰店官网正品游戏手机""",1399.0,荣耀官方旗舰店,31477.0,广东 深圳
10,"""【年货节 4+128G直降100】Huawei/华为畅享10 Plus超清全视屏4800万三摄智能手机华为官方旗舰店畅享10plus""",1299.0,华为官方旗舰店,30692.0,广东 深圳
602,"""【低至999元】华为旗下HONOR/荣耀8X全面屏手机屏占比高达91%智能学生青春正品官方旗舰店10青春""",999.0,荣耀官方旗舰店,30421.0,广东 深圳
99,"""【24期免息 赠配件礼包】华为旗下HONOR/荣耀20 PRO 新品30倍数字变焦全焦段AI四摄全面屏手机官方旗舰店""",2699.0,荣耀官方旗舰店,29639.0,广东 深圳
327,"""【下单至高省100】vivo iQOO Neo 高通骁龙845处理器游戏指纹全面屏智能手机正品vivoiqooneo iqooneo 新iqoo""",2098.0,vivo官方旗舰店,29370.0,广东 东莞
1793,"""【全网通4G网络】天语 T2S移动电信版按键直板正品老年手机大屏大字大声超长待机老人机诺基亚小学生备用功能""",99.0,利欧数码专营店,28080.0,广西 桂林
17,"""【低至1699元】华为旗下HONOR/荣耀Magic2滑盖全面屏官网正品超级快充麒麟980官方旗舰店新手机v20""",1699.0,荣耀官方旗舰店,27812.0,广东 深圳
98,"""【购机晒单有礼】OPPO A5 全面屏AI双摄美颜拍照长续航正品学生老人智能全网通4G手机oppoa5""",699.0,oppo官方旗舰店,26180.0,广东 东莞
53,"""【限时优惠200元】华为旗下HONOR/荣耀畅玩8A 6.09英寸珍珠全面屏智能手机官网正品学生官方旗舰店""",599.0,荣耀官方旗舰店,24213.0,广东 深圳
37,"""【4G全网通】YEPEN/誉品 Y550正品老年手机老人机超长待机大字大声大屏移动联通电信男女按键小学生功能手机""",49.0,誉品旗舰店,23704.0,广东 深圳
59,"""纽曼W560儿童手机 小学生可爱卡通男女款超薄迷你非智能移动电信版老人机小孩初中卡片老年手机只可以打电话""",78.0,深圳易乐购数码专营店,23215.0,广东 深圳
146,"""【年货节 100优惠券】Huawei/华为nova 5i自拍极点全面屏2400万AI四摄超级夜景AI手机nova5i华为官方旗舰店""",1799.0,华为官方旗舰店,23172.0,广东 深圳
11,"""【限时24期免息】Apple/苹果 iPhone 11移动联通电信全网通4G 超广角拍照手机苏宁易购官方旗舰店Store苹果11""",5499.0,苏宁易购官方旗舰店,23067.0,江苏 南京
1841,"""创星 ( 手机 ) v3卡片儿童手机小学生非智能超薄迷你卡通可爱网红袖珍电信备用戒网小手机女学生只可以打电话""",63.0,徐州联强数码专营店,22317.0,广东 深圳
9,"""【年货节 24期免息】Huawei/华为Mate 30 5G麒麟990超感光徕卡三摄5G智能手机mate305g官方旗舰店""",4999.0,华为官方旗舰店,22153.0,广东 深圳
157,"""官网HUAWEI 畅享9全面屏智能新手机华为官方旗舰店正品畅想10plus""",488.0,龙通店,22004.0,广东 深圳
623,"""【8GB限时低至2399元】华为旗下HONOR/荣耀V20全视屏新品麒麟980处理器4800万AI智能游戏手机官方旗舰店""",2399.0,荣耀官方旗舰店,21925.0,广东 深圳
8,"""【全版本立省100】红米8A 大电量大屏幕智能游戏学生老年人手机小米官方旗舰店官网redmi红米8a正品""",599.0,小米官方旗舰店,21371.0,北京
65,"""【年货节 最高直降200】Huawei/华为nova 5i Pro全面屏超广角4800万AI四摄手机nova5ipro华为官方旗舰店""",2099.0,华为官方旗舰店,21224.0,广东 深圳
96,"""【年货节 24期免息】Huawei/华为Mate 30 Pro超级快充麒麟990徕卡四摄4G智能手机mate30pro官方旗舰店""",5799.0,华为官方旗舰店,21177.0,广东 深圳
61,"""【6日低至539起】红米7A大电量大字体大音量智能拍照学生老年人小米官方旗舰店官网正品xiaomi红米小米手机""",539.0,小米官方旗舰店,21017.0,北京
2878,"""vivo Z3x全面屏智慧美颜双摄官方旗舰店官网正品全新限量智能手机学生老人vivoz3x vivoz5x""",1098.0,vivo官方旗舰店,20602.0,广东 东莞
226,"""【直降200元】vivo X27 限量版新品上市4800万广角三摄升降式摄像头全面屏指纹手机官方正品vivox27 限量版""",2498.0,vivo官方旗舰店,20414.0,广东 东莞
303,"""【1.6日下单至高立省100丨3期免息】 Meitu/美图 T9美图T9手机新款双卡双待美颜拍照手机 美图手机正品""",999.0,美图旗舰店,20123.0,福建 厦门
990,"""优思us9翻盖手机老人机超长待机移动电信版老年机大字大屏大声音男女款学生备用正品天翼双屏4G老人手机功能""",99.0,万诚春数码专营店,19714.0,广东 深圳
1760,"""ZTE/中兴 L660老人翻盖手机大屏大字大声男女移动联通军工老年手机超长待机正品学生备用功能机按键老手机""",199.0,天中和数码专营店,19519.0,广东 深圳
649,"""【限时钜惠400 】Meizu/魅族16th骁龙845八核散热超窄边框全面屏屏下指纹双摄拍照商务官方旗舰店正品手机""",1598.0,魅族官方旗舰店,19084.0,广东 珠海
176,"""官方Xiaomi/小米 Redmi K20骁龙855红米k20 pro旗舰手机尊享版""",1298.0,heatlinda,19066.0,广东 深圳
150,"""纽曼R15学生手机非智能超薄迷你卡片手机高中生戒网专用小手机4G儿童小学生手机女款初中生只可以打电话正品""",118.0,纽曼世腾专卖店,19016.0,广东 深圳
381,"""K-Touch/天语 T2老人机超长待机直板大屏大字大声老年手机学生功能移动按键手机 官方正品""",74.0,苏宁易购官方旗舰店,18961.0,江苏 南京
32,"""【年货节 24期免息】Huawei/华为Mate 30麒麟990超级快充4000万徕卡4G智能手机mate30华为官方旗舰店""",3999.0,华为官方旗舰店,18336.0,广东 深圳
218,"""4G全网通老人机超长待机军工三防微信联通电信版大字大声老年手机""",145.0,紫向日葵,17624.0,北京
112,"""官方Xiaomi/小米 Redmi Note8 Pro旗舰红米note8pro手机正note7 9""",925.0,heatlinda,17416.0,广东 深圳
320,"""【至高直降600 6期免息】Meizu/魅族16x骁龙7104G全网通八核旗舰双摄全面屏屏下指纹商务手机官方店正品""",1098.0,魅族官方旗舰店,17388.0,广东 珠海
450,"""【降价低至888元起】华为HONOR 荣耀8X全面屏手机官方旗舰店降价9x畅享play3官网青春版20s新品9i款pro系列x9""",888.0,三际数码官方旗舰店,17295.0,山东 济南
31,"""Apple/苹果 iPhone 7 Plus国行美版苹果7代苹果7P5.5寸全网通手机""",1800.0,唯美气质淑女日韩馆,17272.0,广东 深圳
27,"""【年货节 直降200】Huawei/华为nova 5z 快充AI4800万四摄人像超级夜景128G大内存智能手机华为官方旗舰店""",1599.0,华为官方旗舰店,17224.0,广东 深圳
14,"""【享24期免息】红米k20 pro尊享版骁龙855Plus内存大存储学生智能游戏手机30小米官方旗舰店redmi正品xiaomi""",2799.0,小米官方旗舰店,17116.0,北京
1595,"""【4G全网通】YEPEN/誉品 Y580 移动联通电信超长待机大屏老年机正品军工三防按键学生备用男女新功能老人手机""",59.0,誉品旗舰店,16834.0,广东 深圳
2343,"""UniscopE/优思 US1军工三防老人手机移动联通直板老年机超长待机按键大屏大字大声全语音王 来电报名字读短信""",93.0,优佳讯数码专营店,16813.0,广东 深圳
2195,"""UniscopE/优思 US1军工三防老人手机移动联通直板老年机超长待机按键大屏大字大声全语音王 来电报名字读短信""",93.0,优佳讯数码专营店,16813.0,广东 深圳
304,"""【官网价立省50元 限时24期免息】Apple/苹果 iPhone XR 64G/128G 全网通4G智能手机双卡双待iphonexr 苹果XR""",4799.0,苏宁易购官方旗舰店,16778.0,江苏 南京
1866,"""【6期免息】vivo NEX 旗舰版全面屏8G运存屏幕指纹全网通官方旗舰店全新智能正品手机vivonex""",2698.0,vivo官方旗舰店,16666.0,广东 东莞
23,"""【下单至高省100】vivo U3x新品vivou3x千元拍照智能手机大电池官方旗舰店官网正品学生老人u1 y93""",799.0,vivo官方旗舰店,16563.0,广东 东莞
584,"""【限时立减200 套餐一赠耳机】OPPO K3 骁龙710屏幕指纹升降全面屏全网通拍照4G智能手机官方游戏oppok3k5""",1799.0,苏宁易购官方旗舰店,16315.0,江苏 南京
675,"""官网Xiaomi/小米 Redmi 7 红米7a全面屏7pro官方正品新手机小米8x""",478.0,龙通店,16043.0,广东 深圳
231,"""【3期免息 6日领券省200】vivo Z5x 全面屏AI三摄骁龙710全面屏4G官方旗舰正品手机 vivoz5x vivoz5 z3 iQOO""",1298.0,苏宁易购官方旗舰店,16035.0,江苏 南京
704,"""【3期免息 限时钜惠400】Meizu/魅族16thPlus骁龙845八核散热超窄边框全面屏屏下指纹拍照正品手机官方店正品""",1798.0,魅族官方旗舰店,16034.0,广东 珠海
182,"""顺丰当天发 【新品】Huawei/华为 畅享9珍珠屏华为官网官方旗舰店正品nova5plus/mate30pro超长待机非5g手机""",779.0,小淘器数码专营店,15938.0,安徽 合肥
51,"""【至高省800享24期免息】vivo iQOO Pro 5G高通骁龙855Plus处理器游戏指纹新品手机iqoopro vivoiqoo 限量版""",3298.0,vivo官方旗舰店,15922.0,广东 东莞
13,"""【下单立减200赠耳机】OPPO K5全面屏6400万四摄4G拍照游戏智能手机官方旗舰店正品oppok5 k3 k1""",1799.0,oppo官方旗舰店,15502.0,广东 东莞
3553,"""Philips/飞利浦 E258S 直板老人机大字大声大屏超长待机老年手机男女款移动 双卡双待按键学生备用机诺基亚""",169.0,蒙帝鸿运数码专营店,15418.0,广东 深圳
227,"""【限时到手价899】华为honor/荣耀 荣耀10青春版渐变色全网通智能手机全新正品官方旗舰店拍照学生手机8X""",899.0,苏宁易购官方旗舰店,15378.0,江苏 南京
129,"""【赠充电宝 享6期免息】小米CC9 4800万全面屏手机拍照指纹智能学生小米官方旗舰店正品 xiaomi""",1699.0,小米官方旗舰店,15220.0,北京
149,"""【年货节 64G直降500】Huawei/华为畅享9S华为新品手机2400万三摄超大广角夜拍超级夜景华为官方旗舰店""",999.0,华为官方旗舰店,15210.0,广东 深圳
1053,"""【24期免息加赠音箱】OPPO Reno opporeno全面屏正品官方旗舰4800万超清拍照智能手机R15 R17""",2499.0,oppo官方旗舰店,15198.0,广东 东莞
326,"""【限时钜惠150 6期免息】Meizu/魅族Note9骁龙675长续航4000mAh大电池4800万双摄学生拍照智能手机官方店正品""",1049.0,魅族官方旗舰店,14718.0,广东 珠海
49,"""【6+64GB限时999元】华为旗下HONOR/荣耀Play3 麒麟710F八核全网通智能畅玩手机官方旗舰店全新正品""",899.0,荣耀官方旗舰店,14505.0,广东 深圳
57,"""【限时优惠300赠耳机】OPPO Reno Ace骁龙855plus智能游戏手机90Hz全面屏65W超级闪充官方旗舰店renoace r17""",2999.0,oppo官方旗舰店,14385.0,广东 东莞
997,"""【3期免息 限时直降400】vivo iQOO 骁龙855全面屏智能游戏vivo手机官方旗舰正品4G官网vivoiqoo""",2098.0,苏宁易购官方旗舰店,14322.0,江苏 南京
742,"""Xiaomi/小米 小米9透明九se故宫版10尊享plus新骁龙855手机 pro5g""",2088.0,heatlinda,14278.0,广东 深圳
531,"""[限时直降350]vivo Z5X 新品vivoz5x手机限量版z5x vivoz5 vivoz5i s1 x21 vivox20 x23 vivox27 5g vivo手机""",1298.0,能良数码官方旗舰店,14193.0,上海
1836,"""UniscopE/优思 US7军工三防老人手机移动电信版直板老年机超长待机按键大屏大字大声全语音王 支持来电报名字""",88.0,华宇广诚数码专营店,14174.0,广东 深圳
19,"""关爱心G1军工三防老人机超长待机正品移动电信版联通4G全网通老年手机大屏大字大声音女学生女备用功能小手机""",58.0,关爱心旗舰店,14171.0,广东 深圳
41,"""【至高省300】vivo iQOO Neo 855高通骁龙855处理器游戏指纹智能手机vivoiqooneo iqooneo vivo新iqoo 限量版""",2098.0,vivo官方旗舰店,14132.0,广东 东莞
429,"""索品 S2 老年手机超长待机按键直板老人手机大屏大字大声移动电信版正品非智能功能机女款学生天翼备用小手机""",45.0,索品数码专营店,13932.0,广东 深圳
147,"""【年货节至高立减200 低至948 购机赠好礼】realme 真我Q骁龙712索尼4800万四摄20W闪充realmeq手机realmex""",948.0,realme官方旗舰店,13839.0,广东 东莞
229,"""红魔3s代nubia/努比亚电竞游戏手机mars2骁龙855plus三官方黑鲨4""",1399.0,heatlinda,13766.0,广东 深圳
33,"""【6+128G省300元赠充电宝】小米CC9e 4800万全面屏手机拍照游戏学生小米官方旗舰店正品Xiaomi""",1099.0,小米官方旗舰店,13565.0,北京
55,"""【6+64GB低至1299】华为HONOR/荣耀9X麒麟810芯片4800万双摄升降式全面屏手机苏宁易购官方旗舰店Pro""",1099.0,苏宁易购官方旗舰店,13532.0,江苏 南京
416,"""华为nova5直降1000正品HUAWEI nova 5 Pro官方旗舰店nova5i手机6""",1475.04,深港通信专卖,13225.0,广东 深圳
139,"""【年货节至高立减300 1299起】realme 真我X2 6400万四摄骁龙730G 30W闪充手机拍照手机realmex2手机""",1299.0,realme官方旗舰店,13086.0,广东 东莞
556,"""直降1800送无线充华为HUAWEI HUAWEI P30 PRO官方正品mate30手机""",2668.0,深港通信专卖,12697.0,广东 深圳
1618,"""纽曼 F8翻盖老人手机备用手机大字大声老年机超长待机男女款老人机大按键移动电信版军工三防老年手机""",136.0,一号线数码专营店,12443.0,江苏 南京
329,"""【享12期免息+优惠100+乐心手环】Huawei/华为P30麒麟980芯片4000万徕卡三摄超感光录像全面屏时尚手机""",3388.0,苏宁易购官方旗舰店,12366.0,江苏 南京
205,"""【24期免息+低至1799元】华为旗下HONOR/荣耀9X PRO麒麟810芯片4800万超清三摄升降式摄像头智能手机正品""",1799.0,荣耀官方旗舰店,12296.0,广东 深圳
991,"""立省250元 VIVO Z5X 新品vivoz5x 手机限量版 z5x vivox27 vivoz5 x21 z3i x23 x9 iqoo nex3 5g z5x官网手机""",1298.0,三际数码官方旗舰店,12196.0,山东 济南
883,"""【24期免息 限时省400】Meizu/魅族16s旗舰新品4800万OIS光学防抖骁龙855全面屏颜值商务手机官方旗舰店正品""",2399.0,魅族官方旗舰店,11772.0,广东 珠海
143,"""新品Xiaomi/小米 Redmi Note8 Pro官方红米note8pro手机se正note7""",925.0,品牌机批发店,11591.0,广东 深圳
70,"""【4G全网通】中兴守护宝L105老人机超长待机直板女款大屏大字大声音移动电信版中老年手机正品学生按键小手机""",69.0,嘉宇金成数码专营店,11474.0,广东 深圳
1361,"""优思翻盖老年手机老人机女款男移动电信4G版大屏大字大声超长待机智能军工正品可爱按键学生备用功能机翻盖式""",118.0,优机汇数码专营店,11471.0,广东 深圳
309,"""【享24期免息】红米k20pro尊享版骁龙855Plus大存储智能游戏学会手机小米官方旗舰店redmi正品xiaomi""",2799.0,小米官方旗舰店,11455.0,北京
127,"""【填登录手机】24.8/月百度网盘超级会员SVIP年卡12个月自动充值""",298.0,百度网盘旗舰店,11282.0,北京
74,"""[送座充] 纽曼 M6老年手机超长待机正品老人手机大屏大字大声音按键直板老人机移动电信版诺基亚功能女老年机""",148.0,纽曼深圳专卖店,11109.0,广东 深圳
1065,"""【限时到手价799】华为honor/荣耀 畅玩8C全网通智能手机官网全新正品学生官方旗舰店性能续航9X20i""",799.0,苏宁易购官方旗舰店,11086.0,江苏 南京
251,"""【低至1699元】华为旗下HONOR/荣耀Magic2滑盖全面屏官网正品超级快充麒麟980官方旗舰店新手机v20""",1699.0,荣耀官方旗舰店,11033.0,广东 深圳
1541,"""索爱 SA-T3老人机超长待机大字大声大屏三防老人手机移动版男 女款全语音王盲人功能备用机直板电信老年手机""",139.0,索爱数码旗舰店,10848.0,广东 深圳
352,"""现货Xiaomi/小米 Redmi K20 Pro红米k20pro官方旗舰新手机尊享版3""",1287.99,品牌机批发店,10846.0,广东 深圳
2521,"""【699起】红米7 八核双摄大电量18个月质保智能拍照学生老人全网通手机小米官方旗舰官网正品红米8 play""",699.0,苏宁易购官方旗舰店,10813.0,江苏 南京
109,"""Apple/苹果 iPhone XR 国行双卡苹果 iphonexr手机XR美版xs max""",3150.0,小唐1688,10439.0,上海
417,"""【咨询低至858元起】华为HONOR荣耀10青春版全面屏手机降价9x三际20i官方旗舰店play3官网20s爆款11x正品8x""",858.0,三际数码官方旗舰店,10417.0,山东 济南
519,"""【24期免息+赠壳膜】华为旗下HONOR/荣耀9X麒麟810芯片4800万超清双摄升降式全面屏智能手机官方旗舰店正品""",1799.0,荣耀官方旗舰店,10403.0,广东 深圳
198,"""索爱Z6老人机翻盖全网通4G老人手机大字大声大屏移动联通4G版老年机超长待机双卡双待男女款按键电信老年手机""",219.0,索爱数码旗舰店,10340.0,广东 深圳
458,"""官方Xiaomi/小米 redmi note 7 pro新手机8红米Note7Pro小金刚k20""",799.0,品牌机批发店,10312.0,广东 深圳
316,"""创星 R9超薄超小迷你卡片手机移动电信版男女高中初中小学生儿童戒网备用非智能学生只可以打电话网红小手机""",128.0,阿兰贝尔数码专营店,10113.0,广东 深圳
93,"""【热销爆款】上海中兴守护宝L550老人机超长待机直板老人手机大屏大字大声移动联通电信版老年手机正品学生机""",86.0,苏宁易购官方旗舰店,10036.0,江苏 南京
784,"""【年货节立减40元 送无线充 12期免息】Samsung/三星Galaxy S10+SM-G9750骁龙855 IP68防水前置双摄智能手机""",5599.0,三星官方旗舰店,10026.0,北京
210,"""【享12期免息+优惠200+乐心手环】Huawei/华为P30 Pro曲面屏超感光徕卡四摄变焦980芯片智能手机p30pro""",4488.0,苏宁易购官方旗舰店,9964.0,江苏 南京
223,"""华为nova5【直降990】HUAWEI nova 5 Pro官方旗舰新手机6正nova5i""",1448.0,品牌机批发店,9840.0,广东 深圳
813,"""【下单减100元 送无线充 12期免息】Samsung/三星Galaxy S10 SM-G9730骁龙855 4G游戏官方全面屏智能手机""",4999.0,三星官方旗舰店,9809.0,北京
175,"""【正品5年换新】 Nokia/诺基亚105直板老人机迷你小学生备用手机官方旗舰店超长待机老年非智能110儿童经典款""",139.0,京联通达数码旗舰店,9746.0,北京
1138,"""vivo Z3全新机手机正品 新款 vivoz3官方旗舰店官 新品vivoz4 vivo z3x z3i z1 x21 x23 x20 z5 x7 x9限量版""",1148.0,首佳誉数码专营店,9579.0,广东 东莞
1025,"""Nokia/诺基亚 新130老年机超长待机大字大声直板按键学生儿童备用老人机官方旗舰店正品经典怀旧迷你小孩手机""",158.0,天讯蓝图数码专营店,9578.0,广东 深圳
355,"""直降800】华为honor/荣耀 荣耀20i 全面屏官方新手机荣耀20pro 9x""",857.99,龙通店,9511.0,广东 深圳
1891,"""[至高可省1000] vivo iQOO 全新 vivoiqoo iq00艾酷骁龙855 vivoneo855 nex3 vivox27 vovi爱酷pro iqoo手机""",3098.0,能良数码官方旗舰店,9484.0,上海
186,"""华为nova5【免息直降980】HUAWEI nova 5 Pro手机官方5i nova5z""",1488.0,白开水的点燃方式,9469.0,河南 郑州
224,"""顺丰速发【100元优惠券】Huawei/华为 畅享9 PLUS官方旗舰店官网正品nova3/4手机mate20畅想9plus最pro荣耀10""",1099.0,蓝港数码专营店,9278.0,广东 深圳
30,"""Apple/苹果 iPhone 7 Plus iPhone7国行三网通全新正品苹果7P手机""",2160.0,喜洋洋工作屋,9252.0,广东 深圳
2036,"""守护宝 上海中兴 L630 官方正品 老年手机 直板老人机 移动2G 老人手机 备用机 学生 守护宝l630""",129.0,苏宁易购官方旗舰店,9225.0,江苏 南京
121,"""【限时优惠600】华为HONOR荣耀20全面屏超广角AI四摄麒麟980芯片智能手机正品官方旗舰PRO手机""",2099.0,苏宁易购官方旗舰店,9210.0,江苏 南京
114,"""【499起】红米7A 八核大电量大字体老人智能学生全网通手机小米官方旗舰红米7 红米6a官网正品 红米7a""",479.0,苏宁易购官方旗舰店,9208.0,江苏 南京
3,"""【购机赠耳机】红米k30 索尼6400万大电量120Hz智能游戏学生手机K20升级redmi小米官方旗舰店网正品xiaomi""",1699.0,小米官方旗舰店,9104.0,北京
72,"""【可减350元+当天发】华为HONOR 荣耀9X系列麒麟810全网通手机全新官方旗舰店官网9xpro正品新款x9华为荣耀9x""",1099.0,广东电信亿品汇专卖店,8972.0,广东 深圳
