title,price,store,commentcount,location
"""【享24期免息】红米k20 pro尊享版骁龙855Plus内存大存储学生智能游戏手机30小米官方旗舰店redmi正品xiaomi""",2799.00,"""小米官方旗舰店""",17116,北京
"""【年货节 12期免息】Huawei/华为nova 5 Pro超级夜景4800万AI四摄超广角智能手机nova5pro华为官方旗舰店""",2499.00,"""华为官方旗舰店""",71967,广东 深圳
"""VOVG X27超薄水滴全面屏安卓大屏游戏4G全网通智能手机电信学生价""",358.00,"""齐胜通讯""",33242,广东 深圳
"""【低至1699元】华为旗下HONOR/荣耀Magic2滑盖全面屏官网正品超级快充麒麟980官方旗舰店新手机v20""",1699.00,"""荣耀官方旗舰店""",27812,广东 深圳
"""【年货节 100优惠券】Huawei/华为 P30全面屏超感光徕卡三摄变焦双景录像980芯片智能手机p30华为官方旗舰店""",3388.00,"""华为官方旗舰店""",77153,广东 深圳
"""关爱心G1军工三防老人机超长待机正品移动电信版联通4G全网通老年手机大屏大字大声音女学生女备用功能小手机""",58.00,"""关爱心旗舰店""",14171,广东 深圳
"""【8GB限时低至2399元】华为旗下HONOR/荣耀V20新品全视屏麒麟980处理器4800万AI摄影手机官方旗舰店v30""",2399.00,"""荣耀官方旗舰店""",90166,广东 深圳
"""全网通4G天语R7移动联通电信版女超薄老人机超长待机正品按键直板老年手机大屏大字大声音天翼功能小学生备用""",68.90,"""天语强宇专卖店""",124929,广西 桂林
"""【年货节 最高直降200】Huawei/华为畅享9e全面屏珍珠屏千元智能手机华为正品官方智能手机华为官方旗舰店""",599.00,"""华为官方旗舰店""",39466,广东 深圳
"""【下单至高省100】vivo U3x新品vivou3x千元拍照智能手机大电池官方旗舰店官网正品学生老人u1 y93""",799.00,"""vivo官方旗舰店""",16563,广东 东莞
"""【4G全网通】纽曼 l6+老人机超长待机大屏大字大声音按键直板移动电信版中老年手机学生女正品联通儿童小手机""",59.00,"""纽曼深圳专卖店""",134918,广东 深圳
"""vivo Z5新品vivoz5限量版智能手机官方正品旗舰店官网屏幕指纹学生新款vivoz5x z3x""",1398.00,"""vivo官方旗舰店""",49183,广东 东莞
"""【低至2099元】华为旗下HONOR/荣耀20全面屏超广角AI四摄麒麟980芯片智能拍照手机正品PRO手机v30""",2099.00,"""荣耀官方旗舰店""",92563,广东 深圳
"""【年货节 直降200】Huawei/华为nova 5z 快充AI4800万四摄人像超级夜景128G大内存智能手机华为官方旗舰店""",1599.00,"""华为官方旗舰店""",17224,广东 深圳
"""vjvj X21S正品学生价水滴全面屏安卓指纹游戏电信全网通智能手机""",368.00,"""华信通商城""",6902,广东 深圳
"""【新品上市 6期免息】Huawei/华为 nova 6 SE超级快充4800万AI四摄大运存智能手机华为官方旗舰店""",2199.00,"""华为官方旗舰店""",1432,广东 深圳
"""Apple/苹果 iPhone 7 Plus iPhone7国行三网通全新正品苹果7P手机""",2160.00,"""喜洋洋工作屋""",9252,广东 深圳
"""Apple/苹果 iPhone 7 Plus国行美版苹果7代苹果7P5.5寸全网通手机""",1800.00,"""唯美气质淑女日韩馆""",17272,广东 深圳
"""【年货节 24期免息】Huawei/华为Mate 30麒麟990超级快充4000万徕卡4G智能手机mate30华为官方旗舰店""",3999.00,"""华为官方旗舰店""",18336,广东 深圳
"""【6+128G省300元赠充电宝】小米CC9e 4800万全面屏手机拍照游戏学生小米官方旗舰店正品Xiaomi""",1099.00,"""小米官方旗舰店""",13565,北京
"""4G全网通皓轩H5军工三防老人机超长待机女款大屏大字大声直板按键移动电信版老年手机正品学生功能天翼小手机""",39.00,"""皓轩手机旗舰店""",32477,广东 深圳
"""【1月6日 24期免息 抢礼盒】华为旗下HONOR/荣耀V30双模5G麒麟990旗舰芯片突破性相机矩阵PRO拍照手机官方店""",3299.00,"""荣耀官方旗舰店""",4408,广东 深圳
"""Apple/苹果 iPhone 8 Plus 全新正品国行美版三网通手机iPhone 8""",2600.00,"""喜洋洋工作屋""",4718,广东 深圳
"""【4G全网通】YEPEN/誉品 Y550正品老年手机老人机超长待机大字大声大屏移动联通电信男女按键小学生功能手机""",49.00,"""誉品旗舰店""",23704,广东 深圳
"""[4G全网通]纽曼 L8S军工三防老人机超长待机正品老年手机大屏大字大声音移动电信版学生女按键直板诺基亚手机""",58.00,"""深圳易乐购数码专营店""",61674,广东 深圳
"""Apple/苹果 iPhone 7 Plus全新7代5.5英寸全网通7P苹果8plus手机X""",1650.00,"""晨曦爱森林浴""",6597,上海
"""【4G全网通】创星S1老人机超长待机正品直板军工三防诺基亚学生女款按键移动电信版大屏大字大声音老年手机""",58.00,"""炜广天成数码专营店""",116419,广东 深圳
"""【至高省300】vivo iQOO Neo 855高通骁龙855处理器游戏指纹智能手机vivoiqooneo iqooneo vivo新iqoo 限量版""",2098.00,"""vivo官方旗舰店""",14132,广东 东莞
"""Apple/lPhone 6splus 苹.果6sp 苹.果6s手机7代7plus全网通正品7p""",950.00,"""旅游数码欢乐坊""",4287,广东 深圳
"""【6+64GB限时低至1299元】华为旗下HONOR/荣耀20青春版AMOLED屏幕指纹手机官方旗舰店新品9X正品20""",1099.00,"""荣耀官方旗舰店""",5969,广东 深圳
"""【低至999元】华为旗下HONOR/荣耀8X全面屏手机屏占比高达91%智能学生青春正品官方旗舰店10青春""",999.00,"""荣耀官方旗舰店""",251777,广东 深圳
"""Changhong/长虹 L9老人机超长待机移动老年手机学生女超薄直板老年机小手机大屏大字大声音诺基亚电信版手机""",99.00,"""慕尚年华数码专营店""",51479,广东 深圳
"""【下单至高减200】OPPO K3全面屏骁龙710屏幕指纹手机智能新品官方游戏手机oppok3 k1 oppor17 r15""",1799.00,"""oppo官方旗舰店""",58186,广东 东莞
"""【年货节 200优惠券】Huawei/华为P30 Pro曲面屏超感光徕卡四摄变焦双景录像智能手机p30pro华为官方旗舰店""",4488.00,"""华为官方旗舰店""",84275,广东 深圳
"""【下单最高减230元】Apple/苹果 iPhone XR全网通4G手机双卡双待手机苏宁易购官方旗舰店 苹果iPhoneXR苹果xr""",4588.00,"""苏宁易购官方旗舰店""",234032,江苏 南京
"""【6+64GB限时999元】华为旗下HONOR/荣耀Play3 麒麟710F八核全网通智能畅玩手机官方旗舰店全新正品""",899.00,"""荣耀官方旗舰店""",14505,广东 深圳
"""【优惠高达600元】华为旗下HONOR/荣耀20i 3200万AI自拍渐变色官方旗舰店珍珠全面屏正品学生手机""",999.00,"""荣耀官方旗舰店""",65831,广东 深圳
"""【至高省800享24期免息】vivo iQOO Pro 5G高通骁龙855Plus处理器游戏指纹新品手机iqoopro vivoiqoo 限量版""",3298.00,"""vivo官方旗舰店""",15922,广东 东莞
"""手机 ivvi p60(i8)八核水滴全面屏安卓游戏智能手机128G学生价4G""",348.00,"""tb955151_00""",3260,广东 深圳
"""【限时优惠200元】华为旗下HONOR/荣耀畅玩8A 6.09英寸珍珠全面屏智能手机官网正品学生官方旗舰店""",599.00,"""荣耀官方旗舰店""",24213,广东 深圳
"""纽曼 F9老年机翻盖手机大屏大字大声音联通4G全网通女老人手机超长待机正品男女款电信版移动戒网学生老人机""",168.00,"""慕尚年华数码专营店""",96256,广东 深圳
"""【6+64GB低至1299】华为HONOR/荣耀9X麒麟810芯片4800万双摄升降式全面屏手机苏宁易购官方旗舰店Pro""",1099.00,"""苏宁易购官方旗舰店""",13532,江苏 南京
"""【限时12期免息】华为旗下/荣耀V30 PRO新品双模麒麟990 5GSOC芯片突破性相机矩阵手机新正品官方""",4199.00,"""荣耀官方旗舰店""",3126,广东 深圳
"""【限时优惠300赠耳机】OPPO Reno Ace骁龙855plus智能游戏手机90Hz全面屏65W超级闪充官方旗舰店renoace r17""",2999.00,"""oppo官方旗舰店""",14385,广东 东莞
"""Apple/lPhone 6splus 苹.果6sp 苹.果6s手机7代7plus全网通正品7p""",920.70,"""tb326255629""",1530,广东 深圳
"""纽曼W560儿童手机 小学生可爱卡通男女款超薄迷你非智能移动电信版老人机小孩初中卡片老年手机只可以打电话""",78.00,"""深圳易乐购数码专营店""",23215,广东 深圳
"""【6日低至699起】红米8 5000mAh大电量智能全面屏学生老年人全网通手机小米官方旗舰店redmi8官网小米手机""",699.00,"""小米官方旗舰店""",3270,北京
"""【6日低至539起】红米7A大电量大字体大音量智能拍照学生老年人小米官方旗舰店官网正品xiaomi红米小米手机""",539.00,"""小米官方旗舰店""",21017,北京
"""【分期免息】Apple/苹果 iPhone 8 Plus 4G国行8代苹果8p手机""",2200.00,"""zhongweixin8250""",5627,广东 深圳
"""【1199起限量抢】红米note8pro 6400万四摄全面屏智能学生小米官方旗舰正品手机 k30 红米note7 红米note8""",1199.00,"""苏宁易购官方旗舰店""",6777,江苏 南京
"""【新品】新Nokia/诺基亚105 新SS官方正品直板按键迷你功能手机经典学生老人机老年机功能机备用机官方旗舰""",139.00,"""苏宁易购官方旗舰店""",4249,江苏 南京
"""【年货节 最高直降200】Huawei/华为nova 5i Pro全面屏超广角4800万AI四摄手机nova5ipro华为官方旗舰店""",2099.00,"""华为官方旗舰店""",21224,广东 深圳
"""【年货节 直降300】Huawei/华为 畅享 8e 青春版 4G高清全面屏正品智能学生老人游戏手机""",499.00,"""华为官方旗舰店""",91292,广东 深圳
"""分期Apple/苹果 iPhone7 Plus美版国行正品苹果7P全网通7代4G手机""",1500.00,"""会耍赖的猫888""",1560,广东 深圳
"""Apple/苹果 iPhone 8 Plus 全网通4G全新苹果8X手机128G 分期免息""",1388.00,"""zhimingyouhuo4""",1572,广东 深圳
"""分期免息Apple/苹果 iPhone XS Max苹果xsmax苹果xr双卡国行手机""",3514.50,"""彩虹色的蜻蜓""",4538,广东 深圳
"""【4G全网通】中兴守护宝L105老人机超长待机直板女款大屏大字大声音移动电信版中老年手机正品学生按键小手机""",69.00,"""嘉宇金成数码专营店""",11474,广东 深圳
"""Philips/飞利浦 E212A翻盖老人手机超长待机大字大声大屏老年手机正品双屏商务手机男女备用学生按键老人机""",258.00,"""伟业恒通数码专营店""",54912,广东 深圳
"""【可减350元+当天发】华为HONOR 荣耀9X系列麒麟810全网通手机全新官方旗舰店官网9xpro正品新款x9华为荣耀9x""",1099.00,"""广东电信亿品汇专卖店""",8972,广东 深圳
"""正品 超薄水滴屏安卓大屏游戏4G全网通智能手机电信OWWO/欧沃 X27""",298.00,"""鑫泰达电子科技""",1661,广东 深圳
"""[送座充] 纽曼 M6老年手机超长待机正品老人手机大屏大字大声音按键直板老人机移动电信版诺基亚功能女老年机""",148.00,"""纽曼深圳专卖店""",11109,广东 深圳
"""5年换新/Nokia/诺基亚 105新ss老人机超长待机直板按键大字大声经典备用老年机学生儿童迷你小手机官方旗舰店""",139.00,"""天讯蓝图数码专营店""",2933,广东 深圳
"""【4+64G低至699】红米8A 新品大电量大屏幕智能游戏学生老年人小米官方旗舰店正品手机红米8a 7a""",599.00,"""苏宁易购官方旗舰店""",4349,江苏 南京
"""雷神加速器10小时steam吃鸡网络游戏加速吃鸡神器 填手机号自动充""",2.50,"""福禄网游数卡专营店""",1288,湖北 武汉
"""【899起】红米note8 4800万四摄全面屏手机拍照智能学生红米note7小米官方旗舰正品红米k30 note8pro""",899.00,"""苏宁易购官方旗舰店""",5730,江苏 南京
"""Apple/苹果 iPhone XR iphonexr 苹果XR手机 双卡双待 8x xs max""",2780.00,"""liubingtuan""",5358,江苏 南京
"""分期免息 Apple/苹果 iPhone X全新正品iPhonex全网通4G苹果x手机""",3415.50,"""深圳梦幻公主服饰""",881,广东 深圳
"""【6日立减200+套餐赠耳机】OPPOK5 6400万超清像素四摄高通骁龙730G美颜拍照VOOC闪充 4G全网通手机oppok5""",1799.00,"""苏宁易购官方旗舰店""",3611,江苏 南京
"""【限时低至999元】华为旗下HONOR/荣耀8X Max官网全新正品智能商务学生游戏全面屏双摄手机官方旗舰店正品""",999.00,"""荣耀官方旗舰店""",41266,广东 深圳
"""Apple/lPhone 6splus 苹.果6sp 苹.果6s手机7代7plus全网通正品4G""",920.00,"""金猪立业""",759,广东 深圳
"""4+64G卖799元/Huawei/华为 畅享9 手机 华为官方旗舰店正品华为畅享9plus畅享10plus畅想9s荣耀老人 超长待机""",749.00,"""博海宇通数码专营店""",3334,北京
"""【下单立减400元】Apple/苹果 iPhone 11 移动联通电信4G全网通智能手机正品苏宁易购官方旗舰店Store苹果11""",5499.00,"""苏宁易购官方旗舰店""",3025,江苏 南京
"""【4G全网通】关爱心G3正品老人机超长待机老年手机大屏大字大声音移动联通电信版直板女款诺基亚功能按键手机""",59.00,"""关爱心旭光明专卖店""",1665,广东 深圳
"""【直降200】Huawei/华为 nova 5 Pro 新款手机官方旗舰店官网降价5g全网通mate30pro智能手机p30正品5i荣耀6""",2499.00,"""京合旗舰店""",7837,安徽 合肥
"""【分期免息】Apple/苹果 iPhone X 苹果8x全新正品国行全网通手机""",3550.00,"""tao88108813""",2502,广东 深圳
"""【填登录手机号】28.7/月百度网盘超级会员3个月SVIP季卡自动充值""",86.00,"""百度网盘旗舰店""",2750,北京
"""Apple/苹果 iPhone XS Max苹果xr iphonexr xs max手机苹果xs max""",2050.00,"""美图好手机""",1779,广东 深圳
"""Apple/苹果 iPhone XS Max苹果xsmax苹果 xs xr双卡iPhonex 手机x""",3280.00,"""子轩_果果""",2329,广东 深圳
"""4G全网通尼凯恩 EN3C正品三防军工直板超长待机移动电信版老年机老人手机女款学生大屏大字大声按键备用手机""",98.00,"""尼凯恩旗舰店""",8425,广东 深圳
"""【热销爆款】上海中兴守护宝L550老人机超长待机直板老人手机大屏大字大声移动联通电信版老年手机正品学生机""",86.00,"""苏宁易购官方旗舰店""",10036,江苏 南京
"""可减350元当天发货/华为HONOR 荣耀9X全网通手机麒麟810系列v20官方旗舰店20i直降降价9xpro青春x9华为荣耀9x""",1099.00,"""三际数码官方旗舰店""",6175,山东 济南
"""纽曼 L660老年手机翻盖手机联通4G移动电信版手机大字大声正品超长待机按键老年机大屏男女语音王军工老人机""",109.00,"""青柠时代数码专营店""",59668,江苏 南京
"""【年货节 24期免息】Huawei/华为Mate 30 Pro超级快充麒麟990徕卡四摄4G智能手机mate30pro官方旗舰店""",5799.00,"""华为官方旗舰店""",21177,广东 深圳
"""百度网盘超级会员VIP1个月 极速下载百度云网盘会员SVIP填手机号""",28.50,"""福禄网游数卡专营店""",437,湖北 武汉
"""【购机晒单有礼】OPPO A5 全面屏AI双摄美颜拍照长续航正品学生老人智能全网通4G手机oppoa5""",699.00,"""oppo官方旗舰店""",26180,广东 东莞
"""【24期免息 赠配件礼包】华为旗下HONOR/荣耀20 PRO 新品30倍数字变焦全焦段AI四摄全面屏手机官方旗舰店""",2699.00,"""荣耀官方旗舰店""",29639,广东 深圳
"""Huawei/华为T2010全网通移动联通4G3G老人手机大声大字电信老年机""",120.00,"""华翼数码007""",5547,广东 深圳
"""Philips/飞利浦 E183A老人机大屏大字大声4G全网通老年机超长待机直板老年手机双卡双待按键老人学生备用手机""",149.00,"""伟业恒通数码专营店""",7277,广东 深圳
"""分期Apple/苹果 iPhone 8 Plus 苹果8plus国行手机苹果8p iphone8""",2100.00,"""桐庐丽影贸易有限公司""",1426,广东 深圳
"""Apple/苹果 iPhone 8 Plus苹果iPhone8 plus国行正品手机iphone8""",2130.00,"""adfkfilemon""",1752,广东 深圳
"""可减400元12期花呗免息/华为HONOR 荣耀20i手机官方旗舰店降价9x学生上市paly3官网降价20青春版华为荣耀20i""",999.00,"""三际数码官方旗舰店""",5778,山东 济南
"""【4G全网通】尼凯恩EN8老人机超长待机直板女款大屏大字大声音移动电信版老年手机正品联通学生功能按键手机""",59.00,"""淘杰翔数码专营店""",128633,广东 深圳
"""分期免息Apple/苹果 iPhone 8 Plus 正品苹果8代iphone8p国行手机""",2000.00,"""tb9173203_00""",1442,广东 广州
"""12期免息花呗分期付款0首付】华为honor/荣耀 荣耀20i手机官方旗舰店直降上市9x系列官网20青春版华为荣耀20i""",999.00,"""广东电信亿品汇专卖店""",4962,广东 深圳
"""分期免息Apple/苹果 iPhone 8 Plus 苹果 8plus iphone8p 8x手机""",2400.00,"""时尚麻豆家企业店铺""",1978,广东 深圳
"""Apple/苹果 iPhone XR 国行双卡苹果 iphonexr手机XR美版xs max""",3150.00,"""小唐1688""",10439,上海
"""诺基亚老人手机全网通4G老人机超长待机移动联通电信4G大字老年机""",105.00,"""易购时代配件行""",696,广东 深圳
"""【限时24期免息】Apple/苹果 iPhone 11 Pro Max 全网通4G智能手机 苏宁易购官方旗舰店正品 苹果11 Pro""",9599.00,"""苏宁易购官方旗舰店""",4862,江苏 南京
"""官方Xiaomi/小米 Redmi Note8 Pro旗舰红米note8pro手机正note7 9""",925.00,"""heatlinda""",17416,广东 深圳
"""新品Xiaomi/小米 Redmi K30 5G红米k30pro官方旗舰手机20尊享版5g""",1448.00,"""heatlinda""",1345,广东 深圳
"""【499起】红米7A 八核大电量大字体老人智能学生全网通手机小米官方旗舰红米7 红米6a官网正品 红米7a""",479.00,"""苏宁易购官方旗舰店""",9208,江苏 南京
"""分期Apple/lphone 6s Plus 苹/果6sp苹.果6s国行正品全网通4G手机""",880.00,"""浅浅搭依_小店""",708,广东 深圳
"""【新品上市24期免息+359元耳机】vivo X30双模5G新品手机官方旗舰店官网新款限量版vivox30pro x27pro x23""",3298.00,"""vivo官方旗舰店""",984,广东 东莞
"""【24期免息】红米k20pro 尊享版骁龙855Plus新品4800万智能4G全网通手机小米官方旗舰正品红米k20 30""",2499.00,"""苏宁易购官方旗舰店""",2893,江苏 南京
"""当天发货 Apple/苹果iPhone 11 Pro新款苹果iphone11pro Max 手机""",3787.00,"""周宏亮""",6373,广东 深圳
"""【1.6-1.10享24期免息】HUAWEI/华为nova6 5G/4G全网通麒麟990芯片官方旗舰店正品40w快充华为手机nova6se""",3199.00,"""苏宁易购官方旗舰店""",676,江苏 南京
"""正品Apple/苹果 iPhone 7 Plus 国行4G全网通7代手机苹果8plus""",1800.00,"""天南通讯""",4249,广东 深圳
"""【限时优惠600】华为HONOR荣耀20全面屏超广角AI四摄麒麟980芯片智能手机正品官方旗舰PRO手机""",2099.00,"""苏宁易购官方旗舰店""",9210,江苏 南京
"""诺基亚三防老年手机全网通移动电信4G超长待机大声大字大屏老人机""",158.00,"""华强北品牌数码""",1136,广东 深圳
"""分期免息Apple/苹果 iPhone 7 Plus 国行正品苹果全网通7代4G手机""",1780.00,"""zhoujinchun1124""",537,广东 深圳
"""Nokia/诺基亚 新106老人机超长待机直板按键功能机官方旗舰店大字大声老年机学生儿童备用迷你经典怀旧小手机""",129.00,"""天讯蓝图数码专营店""",4934,广东 深圳
"""【24期免息购机享多重礼】meizu/魅族16T骁龙855大屏旗舰6.5英寸全面屏4500mAh电池UFS3.0手机官方旗舰店正品""",1999.00,"""魅族官方旗舰店""",3460,广东 珠海
"""[送座充]小辣椒Q8老年手机超长待机正品军工三防移动电信版中国电信女款诺基亚4G全网通大屏大字大声音老人机""",99.00,"""炜广天成数码专营店""",1876,广东 深圳
"""【填登录手机】24.8/月百度网盘超级会员SVIP年卡12个月自动充值""",298.00,"""百度网盘旗舰店""",11282,北京
"""小米多亲ai手机2小爱同学qin1s全网通4g小米老人机超长待机电信版按键老年直板学生非智能微信备用小功能多亲""",299.00,"""晟功数码专营店""",4186,广东 深圳
"""【赠充电宝 享6期免息】小米CC9 4800万全面屏手机拍照指纹智能学生小米官方旗舰店正品 xiaomi""",1699.00,"""小米官方旗舰店""",15220,北京
"""【限时享24期免息 至高省300元】小米CC9 Pro 1亿像素手机五摄双光学防抖拍照小米官方旗舰店正品xiaomi""",2599.00,"""小米官方旗舰店""",6283,北京
"""（送座充）小辣椒G660老人机翻盖手机超长待机移动电信版全网通按键正品老年手机大字大声大屏男女款学生手机""",99.00,"""尚亿汇通数码专营店""",1415,广东 深圳
"""【6期免息赠耳机】红米k30 索尼6400万四摄官方旗舰官网正品新品120Hz智能4g全网通小米手机k30 redmi k20pro""",1699.00,"""苏宁易购官方旗舰店""",775,江苏 南京
"""【4G全网通】关爱心G3正品老人机超长待机大屏大字大声音老年手机移动联通电信版直板女款功能按键诺基亚手机""",69.00,"""创于佳讯数码专营店""",1264,广东 深圳
"""【填登录手机号】10元/月百度网盘普通会员1个月卡百度云自动充值""",10.00,"""百度网盘旗舰店""",3157,北京
"""Apple/lPhone 6splus 苹.果6sp 苹.果6s手机7代7plus全网通正品7p""",920.70,"""cherryshop爆潮""",802,广东 深圳
"""直降200元【当天发】Huawei/华为 畅享10 plus 手机官方旗舰店畅想9plus新款nova5pro正品5i学生手机5g荣耀9x""",1199.00,"""京合旗舰店""",2202,安徽 合肥
"""雷神加速器3小时steam网游戏加速手游吃鸡神器雷神NN加速填手机号""",0.80,"""红海点卡专营店""",506,湖北 武汉
"""分期Apple/苹果 iPhone 8 Plus 苹果8plus国行iPhone8P苹果8X手机""",1979.00,"""kee123""",1401,广东 深圳
"""【年货节至高立减300 1299起】realme 真我X2 6400万四摄骁龙730G 30W闪充手机拍照手机realmex2手机""",1299.00,"""realme官方旗舰店""",13086,广东 东莞
"""【24期免息】Apple/苹果iPhone 11 2019新款苹果11 新品iphone11 apple智能拍照手机""",5499.00,"""绿森数码官方旗舰店""",1424,浙江 杭州
"""Apple/苹果 iPhone X苹果8x美版三网 国行iPhonex 256G苹果xs手机""",3350.00,"""俞小wen""",770,广东 深圳
"""Apple/苹果 iPhone X 苹果x 苹果8手机 iphone8Plus正品分期免息""",2120.00,"""因尔科技""",808,广东 深圳
"""新品Xiaomi/小米 Redmi Note8 Pro官方红米note8pro手机se正note7""",925.00,"""品牌机批发店""",11591,广东 深圳
"""【限时直降200元】HUAWEI/华为  畅享9e 高清珍珠屏大存储学生千元智能手机""",699.00,"""苏宁易购官方旗舰店""",3309,江苏 南京
"""Apple/苹果 iPhone XS Max苹果xsmax 苹果8x xr双卡手机 iPhonexr""",3520.00,"""妞妞之女王路人甲""",1019,广东 深圳
"""【年货节 100优惠券】Huawei/华为nova 5i自拍极点全面屏2400万AI四摄超级夜景AI手机nova5i华为官方旗舰店""",1799.00,"""华为官方旗舰店""",23172,广东 深圳
"""【年货节至高立减200 低至948 购机赠好礼】realme 真我Q骁龙712索尼4800万四摄20W闪充realmeq手机realmex""",948.00,"""realme官方旗舰店""",13839,广东 东莞
"""小辣椒K3迷你学生手机非智能4G超薄卡片手机高中生初中小学生专用戒网备用网红小手机儿童电信只可以打电话""",128.00,"""东旭启信数码专营店""",3496,广东 深圳
"""【年货节 64G直降500】Huawei/华为畅享9S华为新品手机2400万三摄超大广角夜拍超级夜景华为官方旗舰店""",999.00,"""华为官方旗舰店""",15210,广东 深圳
"""纽曼R15学生手机非智能超薄迷你卡片手机高中生戒网专用小手机4G儿童小学生手机女款初中生只可以打电话正品""",118.00,"""纽曼世腾专卖店""",19016,广东 深圳
"""【24期免息+选享4e手环】HUAWEI/华为Mate30 Pro 5G全网通曲面屏麒麟990芯片双4000万徕卡四摄手机官方正品""",6399.00,"""苏宁易购官方旗舰店""",2335,江苏 南京
"""P30水滴屏全面屏全网通老人大屏智能游戏学生价手机超薄正品VDVD""",298.00,"""地球上的智商人""",503,广东 深圳
"""koobee/酷比Y3正品6.59英寸水滴全面屏大屏大电池4G全网通学生价游戏手机中老年人智能双卡双待安卓超薄指纹""",478.00,"""koobee手机旗舰店""",775,广东 深圳
"""SAILF R20全新上市正品2019新款手机智能超薄水滴屏4G全网通学生价安卓游戏全面屏送小米鼠oppo华为vivo耳机""",398.00,"""硕王东鑫城专卖店""",2755,广东 深圳
"""【限时24期免息】Meizu/魅族16sPro骁龙855Plus4800W光学防抖三摄屏下指纹全面屏高端商务官方正品手机""",2689.00,"""魅族官方旗舰店""",6313,广东 珠海
"""【抢券至高省150】vivo U3新品vivou3千元机拍照智能手机大电池官方旗舰店正品学生老人vivou1 x27""",999.00,"""vivo官方旗舰店""",3301,广东 东莞
"""官网HUAWEI 畅享9全面屏智能新手机华为官方旗舰店正品畅想10plus""",488.00,"""龙通店""",22004,广东 深圳
"""VIIPOO Z5i极点全面屏安卓全网通指纹电信游戏正品学生价智能手机""",341.04,"""海创辉煌数码""",494,广东 深圳
"""【限时24期免息】Apple/苹果 iPhone 11 Pro全网通4G智能手机 苏宁易购官方旗舰店store 苏宁直发 苹果11pro""",8699.00,"""苏宁易购官方旗舰店""",4446,江苏 南京
"""朵唯9X水滴屏八核128G智能手机全网通4G便宜学生老年老人机大字大屏正品旗舰店送适用于华为VIVO小米OPPO耳机""",489.00,"""朵唯宇钧汇专卖店""",1069,广东 深圳
"""【领券至高省100】vivo U3x新品智能手机官方正品旗舰官网学生vivoU1 y93s  z3x vivou1 vivou3x u3""",799.00,"""苏宁易购官方旗舰店""",3995,江苏 南京
"""【新品上市24期免息】vivo X30 Pro双模5G新品60倍超级变焦手机官方旗舰店官网新款限量版x30Pro vivox27 x23""",3998.00,"""vivo官方旗舰店""",781,广东 东莞
"""Apple/苹果 iPhone 8 Plus苹果iPhone8 plus国行正品手机iphone8""",2100.00,"""创皂美丽时代创美""",1499,广东 深圳
"""Apple/苹果 iPhone XR 苹果xr手机国行双卡iphonexr xs max手机8x""",2128.50,"""彩虹色的蜻蜓""",1727,广东 深圳
"""华为nova5正品直降999元HUAWEI nova 5 Pro官方旗舰店nova5i手机6""",1496.50,"""国货平价网""",5237,广东 深圳
